"CK412","Agricultural Science","457","509"
"CK502","Food Marketing and Entrepreneurship","433","456"
"CK504","Nutritional Sciences","492","509"
"CK505","Food Science","444","477"
"CK506","International Development and Food Policy","367","410"
"CK600","Engineering","465","532"
"CK606","Architecture (offered jointly by UCC and CIT)","465","496"
"CK701","Medicine (Undergraduate Entry - HPAT required)","#729","740"
"CK702","Dentistry","590","613"
"CK703","Pharmacy","577","589"
"CK704","Occupational Therapy","532*","554"
"CK705","Speech and Language Therapy","509","529"
"CK706","Public Health Sciences","419","451"
"CK707","Medical and Health Sciences","510*","543"
"CK710","General Nursing","440","466"
"CK712","Children`s and General Nursing (Integrated)","499","520"
"CK720","Mental Health Nursing","398","429"
"CK730","Intellectual Disability Nursing","359","388"
"CK740","Midwifery","444","474"
"CK791","Medicine  - Graduate Entry (GAMSAT required)","#58*","59"
"","American College","",""
"AC120","International Business","234","269"
"AC137","Liberal Arts","252","275"
"","CCT College Dublin","",""
"CT125","Information Technology","235","280"
"","Marino Institute of Education","",""
"CM001","Education - Primary Teaching","452*","462"
"CM002","Education - Primary Teaching - Gaeltacht Applicants","#421","440"
"CM003","Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge","#491","506"
"CM004","Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta)","#492","569"
"CM010","Education Studies","317","373"
"CM020","Early Childhood Education","336","363"
"","Dublin Business School","",""
"DB500","Computing","242","320"
"DB501","Computing (Cloud Computing)","326","329"
"DB502","Computing (Data Analytics and Big Data)","269","269"
"DB503","Computing (Software Development)","242","282"
"DB504","Computing (Web and Mobile Technology)","227","269"
"DB510","Audio Production and Music Project Management","233","293"
"DB512","Business Studies","229","301"
"DB514","Business Studies (Law)","269","337"
"DB515","Business Studies (Human Resource Management)","225","288"
"DB516","Financial Services","328","336"
"DB517","Event Management","226","327"
"DB518","Marketing (Digital Media)","210","289"
"DB521","Accounting and Finance","225","271"
"DB524","Business Information Systems","402","402"
"DB525","Marketing (Digital Media and Cloud Computing)","284","309"
"DB526","Business Information Systems (Cloud Computing)","253","288"
"DB527","Applied Social Care","235","288"
"DB531","Marketing","220","288"
"DB562","Psychology","208","310"
"DB566","Social Science","216","308"
"DB567","Film","192","295"
"DB568","Law","245","308"
